VotePubkey,VoteCredits,ActivatedStake,Commission,Reward
53fAQnWfTPoTQUb3AwPsUZsTTe4djRHmW8U8yztvVF8G,353688,51619.36,7,1.78
BTquv7QcKQU48GyQEspnpseM7dKjMiXSb2XF1TF8BnfZ,360704,100971.69,0,0.0
25rtQR4h9BQKMcU6a1DxpZjB27dwcRUAdVb9binerD9E,360972,90413.13,3,1.25
4DBehwe4U1gHaE575LZVnjN1MfyPSyWjidadRJoQcyAR,360234,51281.88,7,1.81
G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY,360548,5080919.4,100,2304.15
DhfTMGRyG6Ce8sm4jrLpFTDERGDR5EL5PBqTvYoT6h5E,361148,35493.59,7,1.12
a1exajFBsggm7R7ydb4LwyEAdsLCUKNAiUrre9B12kV,332316,12892.67,7,1.59
8sHMgX4GyEByphQm8b8ESKJhSpveSMrnwh4Y4pt8t8FD,360859,41322.53,7,1.35
BNYVMkawH7ekKdbZ7NHqd7duLVc6QLATHYf5aqMkwjec,360488,47900.17,6,1.49
BKccvpa2f5McCLjE91pSGzEY6Ac5sWm1jmHy5QmZ1vTm,359947,58016.77,7,1.95
p2HU9Ts8ci21iNXeodu5u3th5zQCXpACjS4k1vQdCgg,109775,1.5,100,0.0
9SFU2TfJmGB2jq8NHc5Kiaph6BGje7MDJRu7joQ7ZqWV,360976,46223.82,7,1.6
DzGHc5pLJACrLNrXQqvhoLW5cyEDQnuRcP4QDEhumkpG,360743,47805.92,7,1.64
GNajgJGjkdnmZTRGZzsQ4P4eL54gHRMfDDLyZpnZYmUy,360596,288214.67,0,0.0
6GoijNiK3JZVAY96ykCfPhcJnrQfrQMLvrQaX5HyMVhu,360152,136117.44,5,3.36
s2VZdgVB1GkLy9y6N8CwEyD35bomuvxSkc4e8affvt9,360702,52568.99,7,1.8
AduRf23soau1sxTo1eyAoV11RyrtbyeF1fjj48jX9vYh,360905,47252.25,7,1.63
A7KUE4ZmE3tVigh49pws5eC1MR5dM4ojW3FDecSJZeiu,323875,8906.5,100,3.98
3QPGLackJy5LKctYYoPGmA4P8ncyE197jdxr1zP2ho8K,360024,6574.26,7,0.04
s1V1Y1XFHfr6pqs6edVNzA3W1kf9ye2J3VhrgKMQyb5,360846,45302.69,7,1.52
GushxqHNL1eYcRumKwbijG7dtNH1sbJJRm2rqVZzmUAH,360769,10274.01,100,4.99
5PDSvknErgj8veQzcVEZgVyU6G9f73pMvcgAEpTP2NdJ,360750,7032.6,100,4.7
JBaE8QhwFwka2kZxdF1DJHKb7XGdSRuiWutVB9SyENbJ,360819,59521.04,7,2.03
HAu1TuW2T3mBQYbQdQ7edzVhKxirqT2k7jwUcFxSJGWX,360522,574955.99,100,261.31
GpPNw6TxbR2z75ECU6Bdbtpi24vSWP8JQA6CFKo2tiPX,360799,34824.32,7,1.1
6JfBwvcz5QUKQJ37BMKTLrf968DDJBtwoZLw19aHwFtQ,360837,238918.54,0,0.0
BrF3uiDCn4yX55kZ5wcGN6NBUdg9pksWRzaniBALJLJu,360911,52563.55,7,1.83
